Date,Temp air minimum [degC],Temp air maximum [degC],Temp air mean [degC]
2014-04-10 00:00:00,,,11
2014-04-12 00:00:00,,,12.5
2014-05-08 00:00:00,8,17,12.5
2014-05-09 00:00:00,10,17,13.5
2014-05-10 00:00:00,8,19,13.5
2014-05-11 00:00:00,9,14,11.5
2014-05-12 00:00:00,5,12,8.5
2014-05-13 00:00:00,3,8,5.5
2014-05-14 00:00:00,,,
2014-05-15 00:00:00,,,
2014-05-16 00:00:00,4,14,9
2014-05-17 00:00:00,7,16,11.5
2014-05-18 00:00:00,11,20,15.5
2014-05-19 00:00:00,11,20,15.5
2014-05-20 00:00:00,10,23,16.5
2014-05-22 00:00:00,12,21,16.5
2014-05-26 00:00:00,9,16,12.5
2014-05-31 00:00:00,7,17,12
2014-06-01 00:00:00,6.,18,12.0
2014-06-02 00:00:00,10,18,14.0
2014-06-03 00:00:00,8.,18,13.0
2014-06-04 00:00:00,9.,17,13.0
2014-06-05 00:00:00,8.,17,12.5
2014-06-06 00:00:00,8.,23,15.5
